cluster_nl,date,prediction
BRAND_9259_COUNTRY_6B71,2023-01-01,1.1092695
BRAND_9259_COUNTRY_6B71,2023-02-01,1.1144853
BRAND_9259_COUNTRY_6B71,2023-03-01,1.1410391
BRAND_9259_COUNTRY_6B71,2023-04-01,1.1376647
BRAND_9259_COUNTRY_6B71,2023-05-01,1.1525688
BRAND_9259_COUNTRY_6B71,2023-06-01,1.1633536
BRAND_9259_COUNTRY_6B71,2023-07-01,1.1800718
BRAND_9259_COUNTRY_6B71,2023-08-01,1.1656847
BRAND_9259_COUNTRY_6B71,2023-09-01,1.184718
BRAND_9259_COUNTRY_6B71,2023-10-01,1.1857523
BRAND_9259_COUNTRY_6B71,2023-11-01,1.186077
BRAND_9259_COUNTRY_6B71,2023-12-01,1.2014526
BRAND_F649_COUNTRY_1033,2023-01-01,1.0465741
BRAND_F649_COUNTRY_1033,2023-02-01,1.0283366
BRAND_F649_COUNTRY_1033,2023-03-01,1.0623916
BRAND_F649_COUNTRY_1033,2023-04-01,1.055593
BRAND_F649_COUNTRY_1033,2023-05-01,1.060171
BRAND_F649_COUNTRY_1033,2023-06-01,1.066386
BRAND_F649_COUNTRY_1033,2023-07-01,1.0626256
BRAND_F649_COUNTRY_1033,2023-08-01,1.0591141
BRAND_F649_COUNTRY_1033,2023-09-01,1.0633755
BRAND_F649_COUNTRY_1033,2023-10-01,1.0665091
BRAND_F649_COUNTRY_1033,2023-11-01,1.0676422
BRAND_F649_COUNTRY_1033,2023-12-01,1.0693076
BRAND_8779_COUNTRY_84C8,2023-01-01,1.0247198
BRAND_8779_COUNTRY_84C8,2023-02-01,1.0227296
BRAND_8779_COUNTRY_84C8,2023-03-01,1.0312351
BRAND_8779_COUNTRY_84C8,2023-04-01,1.0338156
BRAND_8779_COUNTRY_84C8,2023-05-01,1.0335609
BRAND_8779_COUNTRY_84C8,2023-06-01,1.0251172
BRAND_8779_COUNTRY_84C8,2023-07-01,1.0223736
BRAND_8779_COUNTRY_84C8,2023-08-01,1.0231887
BRAND_8779_COUNTRY_84C8,2023-09-01,1.0229015
BRAND_8779_COUNTRY_84C8,2023-10-01,1.0305648
BRAND_8779_COUNTRY_84C8,2023-11-01,1.0315403
BRAND_8779_COUNTRY_84C8,2023-12-01,1.0316623
BRAND_9E22_COUNTRY_5180,2023-01-01,1.0203384
BRAND_9E22_COUNTRY_5180,2023-02-01,1.0234597
BRAND_9E22_COUNTRY_5180,2023-03-01,1.0363663
BRAND_9E22_COUNTRY_5180,2023-04-01,1.0175654
BRAND_9E22_COUNTRY_5180,2023-05-01,1.0516301
BRAND_9E22_COUNTRY_5180,2023-06-01,1.0450552
BRAND_9E22_COUNTRY_5180,2023-07-01,1.0381207
BRAND_9E22_COUNTRY_5180,2023-08-01,1.0389875
BRAND_9E22_COUNTRY_5180,2023-09-01,1.0427412
BRAND_9E22_COUNTRY_5180,2023-10-01,1.0473425
BRAND_9E22_COUNTRY_5180,2023-11-01,1.0502421
BRAND_9E22_COUNTRY_5180,2023-12-01,1.0543813
BRAND_C352_COUNTRY_88A3,2023-01-01,1.0520554
BRAND_C352_COUNTRY_88A3,2023-02-01,1.0569234
BRAND_C352_COUNTRY_88A3,2023-03-01,1.0744772
BRAND_C352_COUNTRY_88A3,2023-04-01,1.0716538
BRAND_C352_COUNTRY_88A3,2023-05-01,1.0743026
BRAND_C352_COUNTRY_88A3,2023-06-01,1.0726423
BRAND_C352_COUNTRY_88A3,2023-07-01,1.0699651
BRAND_C352_COUNTRY_88A3,2023-08-01,1.0681893
BRAND_C352_COUNTRY_88A3,2023-09-01,1.0681893
BRAND_C352_COUNTRY_88A3,2023-10-01,1.0656221
BRAND_C352_COUNTRY_88A3,2023-11-01,1.064199
BRAND_C352_COUNTRY_88A3,2023-12-01,1.0624851
BRAND_E57A_COUNTRY_458E,2023-01-01,1.0111343
BRAND_E57A_COUNTRY_458E,2023-02-01,1.0123057
BRAND_E57A_COUNTRY_458E,2023-03-01,1.0254842
BRAND_E57A_COUNTRY_458E,2023-04-01,1.0234976
BRAND_E57A_COUNTRY_458E,2023-05-01,1.0286124
BRAND_E57A_COUNTRY_458E,2023-06-01,1.0293345
BRAND_E57A_COUNTRY_458E,2023-07-01,1.0264745
BRAND_E57A_COUNTRY_458E,2023-08-01,1.0279038
BRAND_E57A_COUNTRY_458E,2023-09-01,1.0296023
BRAND_E57A_COUNTRY_458E,2023-10-01,1.0337447
BRAND_E57A_COUNTRY_458E,2023-11-01,1.0367047
BRAND_E57A_COUNTRY_458E,2023-12-01,1.0388292
BRAND_9C65_COUNTRY_3536,2023-01-01,1.1179318
BRAND_9C65_COUNTRY_3536,2023-02-01,1.1072279
BRAND_9C65_COUNTRY_3536,2023-03-01,1.1403569
BRAND_9C65_COUNTRY_3536,2023-04-01,1.1376094
BRAND_9C65_COUNTRY_3536,2023-05-01,1.1272438
BRAND_9C65_COUNTRY_3536,2023-06-01,1.1224202
BRAND_9C65_COUNTRY_3536,2023-07-01,1.128998
BRAND_9C65_COUNTRY_3536,2023-08-01,1.1145239
BRAND_9C65_COUNTRY_3536,2023-09-01,1.1221933
BRAND_9C65_COUNTRY_3536,2023-10-01,1.1247194
BRAND_9C65_COUNTRY_3536,2023-11-01,1.1278148
