date,cluster_nl,prediction
2023-01-01,BRAND_9259_COUNTRY_6B71,1.0100929737091064
2023-02-01,BRAND_9259_COUNTRY_6B71,1.0198333263397217
2023-03-01,BRAND_9259_COUNTRY_6B71,1.0281956195831299
2023-04-01,BRAND_9259_COUNTRY_6B71,1.036730408668518
2023-05-01,BRAND_9259_COUNTRY_6B71,1.0558100938796997
2023-06-01,BRAND_9259_COUNTRY_6B71,1.059311032295227
2023-07-01,BRAND_9259_COUNTRY_6B71,1.0435137748718262
2023-08-01,BRAND_9259_COUNTRY_6B71,1.0592951774597168
2023-09-01,BRAND_9259_COUNTRY_6B71,1.0602655410766602
2023-10-01,BRAND_9259_COUNTRY_6B71,1.0463863611221313
2023-11-01,BRAND_9259_COUNTRY_6B71,1.0651357173919678
2023-12-01,BRAND_9259_COUNTRY_6B71,1.0649542808532715
2023-01-01,BRAND_F649_COUNTRY_1033,1.0379971265792847
2023-02-01,BRAND_F649_COUNTRY_1033,1.0437647104263306
2023-03-01,BRAND_F649_COUNTRY_1033,1.037052035331726
2023-04-01,BRAND_F649_COUNTRY_1033,1.036281704902649
2023-05-01,BRAND_F649_COUNTRY_1033,1.0491387844085693
2023-06-01,BRAND_F649_COUNTRY_1033,1.0497430562973022
2023-07-01,BRAND_F649_COUNTRY_1033,1.049202799797058
2023-08-01,BRAND_F649_COUNTRY_1033,1.0490374565124512
2023-09-01,BRAND_F649_COUNTRY_1033,1.0506232976913452
2023-10-01,BRAND_F649_COUNTRY_1033,1.0436099767684937
2023-11-01,BRAND_F649_COUNTRY_1033,1.043635368347168
2023-12-01,BRAND_F649_COUNTRY_1033,1.0480059385299683
2023-01-01,BRAND_8779_COUNTRY_84C8,1.007703423500061
2023-02-01,BRAND_8779_COUNTRY_84C8,1.021661400794983
2023-03-01,BRAND_8779_COUNTRY_84C8,1.022213101387024
2023-04-01,BRAND_8779_COUNTRY_84C8,1.004794716835022
2023-05-01,BRAND_8779_COUNTRY_84C8,1.0087465047836304
2023-06-01,BRAND_8779_COUNTRY_84C8,1.0087562799453735
2023-07-01,BRAND_8779_COUNTRY_84C8,1.008607029914856
2023-08-01,BRAND_8779_COUNTRY_84C8,1.0085171461105347
2023-09-01,BRAND_8779_COUNTRY_84C8,1.0085235834121704
2023-10-01,BRAND_8779_COUNTRY_84C8,1.0052233934402466
2023-11-01,BRAND_8779_COUNTRY_84C8,1.0052794218063354
2023-12-01,BRAND_8779_COUNTRY_84C8,1.0053993463516235
2023-01-01,BRAND_9E22_COUNTRY_5180,1.0002939701080322
2023-02-01,BRAND_9E22_COUNTRY_5180,1.0130406618118286
2023-03-01,BRAND_9E22_COUNTRY_5180,1.0669349431991577
2023-04-01,BRAND_9E22_COUNTRY_5180,1.021062970161438
2023-05-01,BRAND_9E22_COUNTRY_5180,1.0983490943908691
2023-06-01,BRAND_9E22_COUNTRY_5180,1.0668025016784668
2023-07-01,BRAND_9E22_COUNTRY_5180,1.1054471731185913
2023-08-01,BRAND_9E22_COUNTRY_5180,1.1001499891281128
2023-09-01,BRAND_9E22_COUNTRY_5180,1.1077935695648193
